iter	Logloss
0	0.6555753215
1	0.6258262628
2	0.5934362976
3	0.5719868641
4	0.5543004462
5	0.5347761331
6	0.5217327548
7	0.5109413988
8	0.5019305158
9	0.494622419
10	0.4831812095
11	0.4752455794
12	0.4667109344
13	0.4586726638
14	0.4530308379
15	0.4481277927
16	0.4449299745
17	0.440505576
18	0.4363861445
19	0.4322075245
20	0.4291206647
21	0.4259328022
22	0.4211576081
23	0.4181782703
24	0.4143810518
25	0.4113998192
26	0.408650684
27	0.4047170718
28	0.400980198
29	0.398425521
30	0.3956686781
31	0.3928581705
32	0.3904123966
33	0.3876050685
34	0.3857859928
35	0.3840060978
36	0.3803577659
37	0.3759430662
38	0.3731343571
39	0.3705127197
40	0.3664246649
41	0.3620378413
42	0.3600809589
43	0.3554006655
44	0.3533204923
45	0.3515525443
46	0.3496173396
47	0.346572037
48	0.3446115254
49	0.3423920039
50	0.3405015359
51	0.3380730721
52	0.3362654616
53	0.3342162797
54	0.3314796373
55	0.3291095592
56	0.3271125968
57	0.3232960128
58	0.3221500099
59	0.3204472559
60	0.318563243
61	0.3163512044
62	0.3133479085
63	0.3108478276
64	0.3089473075
65	0.3073050909
66	0.3050624142
67	0.3031806494
68	0.2999197888
69	0.2974732762
70	0.2942714114
71	0.2930408168
72	0.2914010088
73	0.2891818405
74	0.2875659905
75	0.2858317635
76	0.28269095
77	0.2805285616
78	0.2788057034
79	0.2766519861
80	0.2758113356
81	0.2736407899
82	0.2718627576
83	0.2698549403
84	0.2674341681
85	0.2660636631
86	0.2625283771
87	0.2610325099
88	0.2588840596
89	0.2577294498
90	0.2556028057
91	0.2536423745
92	0.2522401396
93	0.2508203697
94	0.2492989387
95	0.2475581281
96	0.2460145376
97	0.2442535424
98	0.2430415586
99	0.2414153515
