iter	Passed	Remaining
0	18	1800
1	33	1654
2	49	1585
3	64	1546
4	81	1541
5	96	1515
6	113	1508
7	129	1488
8	144	1465
9	161	1454
10	177	1435
11	193	1417
12	215	1439
13	231	1420
14	247	1404
15	263	1384
16	280	1368
17	295	1348
18	311	1328
19	328	1313
20	345	1299
21	361	1281
22	376	1261
23	393	1245
24	410	1231
25	426	1212
26	442	1196
27	458	1178
28	473	1158
29	489	1143
30	505	1125
31	522	1110
32	538	1093
33	555	1078
34	571	1061
35	588	1045
36	604	1029
37	619	1011
38	638	998
39	654	981
40	670	965
41	687	949
42	703	932
43	719	915
44	734	897
45	751	881
46	767	865
47	784	850
48	800	832
49	815	815
50	832	800
51	849	783
52	865	767
53	881	750
54	896	733
55	913	717
56	929	701
57	945	684
58	962	668
59	979	653
60	995	636
61	1010	619
62	1026	602
63	1042	586
64	1060	571
65	1077	554
66	1092	538
67	1108	521
68	1124	505
69	1141	489
70	1157	472
71	1173	456
72	1190	440
73	1208	424
74	1231	410
75	1250	394
76	1266	378
77	1283	362
78	1299	345
79	1316	329
80	1332	312
81	1349	296
82	1366	279
83	1383	263
84	1401	247
85	1416	230
86	1432	214
87	1447	197
88	1463	180
89	1483	164
90	1499	148
91	1515	131
92	1532	115
93	1548	98
94	1564	82
95	1581	65
96	1599	49
97	1615	32
98	1631	16
99	1647	0
